id,created_at,updated_at,active,title,image,category,locationguider,city,description,view_count
21,2020-08-30 10:56:23,2020-08-30 10:56:23,1,Kathmandu FunValley,location/f1-1.jpg,7,1,4,"Kathmandu Fun Valley, an amusement park located in Palase (Bhaktapur) near the tall Shiva statue officially came into operation on 29 May 2013. It is one of the best spots for having Fun. People living in and around Kathmandu were monotonous with the same old recreational activities and weekend getaways like Nagarkot and Dhulikhel. It pumped a new rush of adrenaline by offering a completely new experience with its unique amusement and water games. New of its kind activities for Nepali crowd, it attracted more than thirty thousand visitors on an opening day to beat the heat on a clear sunny day. The park also has its restaurant to cater to the hungry souls who want to grab a bit after having tried out the exhilarating rides. The park will leave you thoroughly entertained with its amazing rides and slides.",2
20,2020-08-30 10:55:05,2020-08-30 10:55:05,1,Kathmandu FunPark,location/hqdefault.jpg,7,2,6,"The Kathmandu Fun Park is the amusement section and Kathmandu Fun Valley (KFV) is the water sports section and is situated at Palanse, Bhaktapur. Kathmandu Fun Valley is covered with plush greenery all around and was established with the main motive to provide unlimited enjoyment to people of all age groups. The place is a recreational park where one can enjoy water rides and activities as well as land or amusement rides. There are numerous slides and rides which the place has in store for the visitors. Fun park Kathmandu is the best place to beat the heat and tiredness and enjoy an amazing time with your family, friends and loved ones. Fun Park, Kathmandu has unlimited entertainment for all the fun and thrill lovers.",2
19,2020-08-30 10:53:14,2020-08-30 10:53:14,1,Botanical Garden,location/unnamed_poJuZeN.jpg,7,1,12,The National Botanical Garden is located in the base of Mount Phulchoki (2715m.) at Godawari (1515m.) at the south east corner of Kathmandu valley. The area of the Garden is 82 hectare. It is surrounded by evergreen natural forests. The temperature ranges between 20°C and 30°C during summer and -5°C to 20°C during winter. This Garden was graciously inaugurated by His Majesty the King Late Mahendra Bir Bikram Shah Dev on the 20th October 1962.,2
18,2020-08-30 10:51:28,2020-08-30 10:51:28,1,Garden of Dreams,location/Garden-of-Dream5.jpg,7,2,6,"The Garden of Dreams, also, the Garden of Six Seasons, is a neo-classical garden in Kaiser Mahal Kathmandu, Nepal, built in 1920. Designed by Kishore Narshingh, it consists of 6,895 square metres of gardens with three pavilions, an amphitheater, ponds, pergolas, and urns",2
17,2020-08-30 10:49:49,2020-08-30 10:49:49,1,Simba Fall,location/Manikhel-Simba-Falls-Cover.webp,5,1,11,"Manikhel Village is a rural, basic but authentic village which is located at just around 40 KM from the capital city, Kathmandu.It is a Tamang Village located on the hills near Kathmandu, at a height of more than 2,000 meters from the sea level. The view from the village is outstanding and local people are very warm and welcoming. Lately, Manikhel is getting more popularity because of its nearby jaw dropping waterfall called Simba Falls.",2
16,2020-08-30 10:47:20,2020-08-30 10:47:20,1,Sundarijal water fall,location/The_waterfall_Sweet_Sixteen_Sundarijal_Nepal_3729403856.jpg,5,2,6,"Called as the “beautiful water,” Sundarijal is located about 17 km northeast of Kathmandu.  The tiny village is the gateway to the Shivapuri National Park and along the popular Kathmandu Valley Trekking. Sundarijal is especially famous for young local travelers for day hiking, swimming, picnic, and bike riding. A couple of hours after an uphill hike, you will catch a spectacular view of the Kathmandu valley and the beautiful Tamang village called Mulkharka.  The journey to Chisapani starts from Sundarijal and continues until Nagarkot, and further to Dhulikhel and Panauti.  These areas are also famous for valley cycling tours and trekking trail for local and foreign tourists. Sundarijal also supplies water to Kathmandu as well as electricity to the valley through the Sundarijal Hydropower Station.",2
15,2020-08-30 10:44:52,2020-08-30 10:44:52,1,jhor,location/index.jpg,5,1,6,Jhor Waterfall is one of the renowned waterfalls among Kathmandu people which lies in Tokha Mahankal. Jhor Waterfall ( Jharna) is most popular among the teenage. Neary Kathmandu and the natural spring water then what you can expect more to beat the heat in the summer. Water from Shivapuri National Park is the main source of this waterfall. Jhor lies in the border between Kathmandu and Nuwakot district. One can make a stop while visiting Shivapuri Village.,2
14,2020-08-30 10:43:32,2020-08-30 10:43:32,1,Taudaha lake,location/jsuyetg.png,5,1,6,"Taudaha Lake is a small lake in the outskirts of Kathmandu, in Nepal. The name comes from a combination of Newari words 'Ta', meaning snake and 'Daha', which means lake",2
13,2020-08-30 10:36:43,2020-08-30 10:36:43,1,Sundarijal Hike,location/budhanilkantha-sundarijal-hiking1.jpg,3,2,2,"This trek is the easier option to explore some wild terrain, simple inclines and beautiful scenery. The path goes through Shivapuri National Park, which makes for some amazing views. If luck favours you, you may spot some animals as well! You can extend your walk to the Chisapani settlement, to get a feel of the local tribal culture.",3
12,2020-08-30 10:34:59,2020-08-30 10:34:59,1,Phulchowki Hike,location/phulchwoki.jpg,3,2,10,"Phulchowki is the highest hill in Kathmandu valley, which means that the views from the top are sure to be astounding! You are bound to find hikers with you as you try to scale this hill. Your hike is punctuated by snow-capped mountains, exotic birds and towering mountains on all sides. Once you reach the village, spare a visit to the Botanic Garden to spy some colourful, eclectic plants. You can also stay in hotels or camp at designated locations.",1
